comment,category
"This video is so funny, I couldn't stop laughing!",Funny
"LOL that joke at 2:30 was hilarious.",Funny
"Haha, the bloopers at the end got me.",Funny
"Are you kidding me? This is the funniest thing I've seen all day.",Funny
"The way you edited this made it 10x funnier.",Funny
"I rewatched that part five times, still laughing.",Funny
"The meme at 3:45 had me in tears.",Funny
"Your timing on the punchline is perfect.",Funny
"I wasn't ready for that joke, nearly choked on my drink.",Funny
"My neighbors probably think I'm crazy from laughing so loud.",Funny
"The sound effect you used made it so hilarious.",Funny
"You should do a full compilation of jokes like this.",Funny
"I had a bad day but this video made me smile.",Funny
"That face you made when you messed up was priceless.",Funny
"I literally snorted while laughing at this.",Funny
"I had to pause the video because I couldn't stop laughing.",Funny
"This is the funniest thing YouTube recommended me today.",Funny
"The outtakes at the end were even funnier than the video.",Funny
"You and your friend are a comedy duo.",Funny
"Please make more videos like this, my cheeks hurt from laughing.",Funny
"That unexpected joke was legendary.",Funny
"I wasn't expecting to laugh this hard today.",Funny
"This kind of humor is exactly my style.",Funny
"The way you roasted yourself was hilarious.",Funny
"That transition had no right being that funny.",Funny
"The sarcasm in this video is gold.",Funny
"This reminded me of classic Vine humor.",Funny
"I woke up my family from laughing too loud.",Funny
"I'm sending this to all my friends, it's too funny.",Funny
"I can't believe this is free content, comedy gold.",Funny
"Your laugh is contagious, I started laughing with you.",Funny
"This belongs in a try-not-to-laugh challenge.",Funny
"I failed the try-not-to-laugh challenge in 5 seconds.",Funny
"The way you told that story had me rolling.",Funny
"I had to replay that joke three times.",Funny
"This video cured my sadness for today.",Funny
"Your bloopers are the best part of your channel.",Funny
"The background music made everything funnier somehow.",Funny
"That visual gag was perfect.",Funny
"I wasn't ready for that twist, burst out laughing.",Funny
"This is peak YouTube humor.",Funny
"That impression you did was on point and hilarious.",Funny
"The way you edited in that meme was genius.",Funny
"I can't stop giggling, send help.",Funny
"The comedic timing in this video is chef's kiss.",Funny
"I love how you don't take yourself too seriously.",Funny
"I laughed so hard my stomach hurts.",Funny
"Watched this three times already, still funny.",Funny
"You should be a stand-up comedian.",Funny
"That one-liner is going to live in my head forever.",Funny
"I didn't expect educational content to be this funny.",Funny
"Click here to win a free iPhone!! http://spam.link",Spam
"Subscribe to my channel for sub back!",Spam
"Make $5000 a week working from home! DM me.",Spam
"Earn crypto instantly by clicking this link!",Spam
"Get rich quick by signing up on this site.",Spam
"Join my giveaway, everyone wins, link in bio.",Spam
"Free gift cards for everyone, just enter your email.",Spam
"I got paid $7000 last month using this method.",Spam
"Check out my channel, I post daily giveaways.",Spam
"Why watch this when you can make money fast, link here.",Spam
"Visit this site to multiply your income overnight.",Spam
"You won't believe how easy it is to get rich, click now.",Spam
"This creator is lame, come watch my better videos.",Spam
"New crypto project airdrop, 100% guaranteed profit.",Spam
"Congratulations, you've been selected to win a PS5!",Spam
"I earned $500 a day with no experience, click here.",Spam
"Limited time offer, don't miss this money hack.",Spam
"Sponsors are giving away free laptops, join here.",Spam
"Make money from home by doing nothing, check the link.",Spam
"Instant approval loans with zero interest, visit now.",Spam
"Double your followers instantly, use this secret site.",Spam
"Want more subs? Join my sub4sub group.",Spam
"Stop wasting time, start earning online today.",Spam
"I got 1,000,000 views overnight using this trick.",Spam
"This method is banned, use before it's gone, link below.",Spam
"Don't ignore this, your future self will thank you.",Spam
"Free followers for every social media platform, check this.",Spam
"You can become a millionaire if you follow this guide.",Spam
"Passive income while you sleep, full tutorial here.",Spam
"I'm giving away money to random commenters, reply now.",Spam
"Watch my new video to learn secret monetization tricks.",Spam
"No skills needed, just a phone and internet, click here.",Spam
"Exclusive beta access, only first 100 clicks.",Spam
"Use this app to get free in-game currency, link inside.",Spam
"Complete simple tasks and earn $100 per day.",Spam
"I got out of debt using this website, see how.",Spam
"Free skins for your favorite game, only here.",Spam
"Instant followers on Instagram, safe and secure.",Spam
"Turn your phone into an ATM with this secret method.",Spam
"Companies are begging to pay you, find out how.",Spam
"Get the newest smartphone for free, limited spots.",Spam
"I found a glitch that prints money, watch now.",Spam
"Don't tell anyone about this trick, only us.",Spam
"Earn rewards just for watching videos, join here.",Spam
"Boost your channel by joining my promotion group.",Spam
"Huge discount codes if you visit this link.",Spam
"Automated trading bot that never loses, link inside.",Spam
"You won't believe how fast this grows your account.",Spam
"My friend retired at 25 using this strategy.",Spam
"This video is boring, come watch my better content.",Spam
"The explanation of the TF-IDF algorithm was very clear and helpful.",Informative
"I learned a lot from this machine learning crash course.",Informative
"   .",Informative
"Very detailed and informative. I appreciate the effort you put into this.",Informative
"You explained complex concepts in such a simple way.",Informative
"The step-by-step explanation really helped me understand.",Informative
"This is one of the best tutorials on this topic.",Informative
"Finally someone who explains without skipping important details.",Informative
"The visual examples made everything so much clearer.",Informative
"I was confused before, but now it makes sense.",Informative
"Thank you for providing timestamps and clear sections.",Informative
"The code walkthrough was easy to follow.",Informative
"I liked how you explained both theory and practice.",Informative
